AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT2G38080	IRX12	Laccase/Diphenol oxidase family protein	-0.17	7.6E-01	-1.05	4.6E-08	orange
AT1G06980			-0.33	2.5E-01	-1.05	1.7E-05	orange
AT1G14350	FLP	Duplicated homeodomain-like superfamily protein	-0.29	6.2E-01	-1.06	3.5E-04	orange
AT5G11160	APT5	adenine phosphoribosyltransferase 5	-0.56	5.3E-02	-1.06	4.4E-03	orange
AT4G37980	ELI3-1	elicitor-activated gene 3-1	-0.13	7.3E-01	-1.06	1.2E-12	orange
AT3G58070	GIS	C2H2 and C2HC zinc fingers superfamily protein	-0.10	8.9E-01	-1.06	1.1E-05	orange
ATCG00490	RBCL	ribulose-bisphosphate carboxylases	0.03	9.9E-01	-1.06	7.8E-03	orange
AT4G28720	YUC8	Flavin-binding monooxygenase family protein	-0.69	2.9E-01	-1.06	1.0E-02	orange
AT3G03840	SAUR27	SAUR-like auxin-responsive protein family 	-0.71	6.6E-02	-1.06	1.6E-02	orange
AT5G24105	AGP41	arabinogalactan protein 41	-0.16	9.1E-01	-1.06	1.2E-03	orange
AT2G43445		F-box and associated interaction domains-containing protein	-0.28	7.0E-01	-1.06	2.2E-05	orange
AT3G15550			0.03	9.9E-01	-1.06	2.1E-03	orange
AT5G23750		Remorin family protein	0.01	9.9E-01	-1.06	1.8E-13	orange
AT1G06420			0.20	9.3E-01	-1.06	2.5E-02	orange
AT5G18060	SAUR23	SAUR-like auxin-responsive protein family 	-0.57	1.7E-02	-1.07	4.4E-05	orange
AT1G20630	CAT1	catalase 1	-0.06	9.1E-01	-1.07	4.7E-20	orange
AT3G06130		Heavy metal transport/detoxification superfamily protein 	-0.42	6.8E-03	-1.07	2.3E-05	orange
AT4G38080		hydroxyproline-rich glycoprotein family protein	0.25	9.3E-01	-1.07	1.2E-02	orange
AT4G32340		Tetratricopeptide repeat (TPR)-like superfamily protein	-0.24	4.3E-01	-1.07	1.7E-13	orange
AT5G66330		Leucine-rich repeat (LRR) family protein	-0.20	8.0E-01	-1.07	1.2E-03	orange
AT2G46970	PIL1	phytochrome interacting factor 3-like 1	-0.75	3.8E-01	-1.07	6.3E-03	orange
AT1G54740		Protein of unknown function (DUF3049)	-0.41	7.6E-02	-1.07	6.0E-05	orange
AT2G38320	TBL34	TRICHOME BIREFRINGENCE-LIKE 34	-0.10	9.4E-01	-1.08	2.8E-05	orange
AT5G23270	STP11	sugar transporter 11	-0.57	4.6E-01	-1.08	1.1E-02	orange
AT3G61950		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.25	7.0E-01	-1.08	7.9E-04	orange
AT1G57820	VIM1	Zinc finger (C3HC4-type RING finger) family protein	-0.09	9.0E-01	-1.08	1.3E-04	orange
AT3G49750	RLP44	receptor like protein 44	-0.54	6.6E-02	-1.08	1.2E-04	orange
AT5G11420		"Protein of unknown function, DUF642"	-0.44	1.8E-02	-1.08	1.1E-10	orange
AT4G14746			-0.42	3.1E-01	-1.08	1.7E-04	orange
AT5G47220	ERF2	ethylene responsive element binding factor 2	0.66	2.1E-01	-1.08	1.6E-02	orange
AT5G50011	CPuORF37	conserved peptide upstream open reading frame 37	-0.52	2.5E-01	-1.08	1.4E-04	orange
AT1G23080	PIN7	Auxin efflux carrier family protein	-0.24	1.4E-01	-1.08	7.4E-09	orange
AT4G16563		Eukaryotic aspartyl protease family protein	-0.35	4.5E-01	-1.08	4.3E-08	orange
AT5G01930	MAN6	Glycosyl hydrolase superfamily protein	-0.24	6.6E-01	-1.09	3.1E-04	orange
AT5G38420	RBCS2B	Ribulose bisphosphate carboxylase (small chain) family protein	-0.14	7.4E-01	-1.09	6.5E-07	orange
AT1G15830			-0.25	3.4E-01	-1.09	1.8E-08	orange
AT4G37800	XTH7	xyloglucan endotransglucosylase/hydrolase 7	-0.26	1.9E-01	-1.09	9.9E-08	orange
AT5G46690	bHLH071	beta HLH protein 71	-0.17	7.5E-01	-1.09	1.4E-06	orange
AT1G62380	ACO2	ACC oxidase 2	-0.30	7.8E-02	-1.09	3.0E-09	orange
AT3G63450		RNA-binding (RRM/RBD/RNP motifs) family protein	-0.27	4.0E-01	-1.09	3.5E-06	orange
AT2G26290	ARSK1	root-specific kinase 1	-0.13	9.6E-01	-1.09	3.6E-02	orange
AT3G05660	RLP33	receptor like protein 33	-0.43	5.0E-01	-1.09	1.9E-10	orange
AT3G18900			-0.23	8.9E-01	-1.09	1.4E-02	orange
AT1G63930	ROH1	from the Czech roh meaning corner	-0.13	9.7E-01	-1.09	4.6E-02	orange
AT3G09330		Transmembrane amino acid transporter family protein	-0.51	7.9E-01	-1.10	3.2E-02	orange
AT2G32550		"Cell differentiation, Rcd1-like protein"	-0.24	6.3E-01	-1.10	5.7E-06	orange
AT2G14900		Gibberellin-regulated family protein	-0.13	9.5E-01	-1.10	1.7E-02	orange
AT1G02970	WEE1	WEE1 kinase homolog	-0.12	9.4E-01	-1.10	5.7E-03	orange
AT1G53520	FAP3	Chalcone-flavanone isomerase family protein	-0.08	8.8E-01	-1.10	5.0E-05	orange
AT4G14770	TCX2	TESMIN/TSO1-like CXC 2	-0.20	7.9E-01	-1.10	1.5E-04	orange
AT2G13570	NF-YB7	"nuclear factor Y, subunit B7"	0.18	9.2E-01	-1.10	1.4E-02	orange
AT3G06880		Transducin/WD40 repeat-like superfamily protein	-0.06	9.3E-01	-1.10	1.3E-07	orange
AT5G45080	PP2-A6	phloem protein 2-A6	0.06	9.7E-01	-1.10	7.1E-03	orange
AT3G52115	GR1	gamma response gene 1	-0.05	9.8E-01	-1.10	4.2E-03	orange
AT3G63430	TRM5		-0.31	8.6E-01	-1.10	4.1E-02	orange
AT5G24570			-0.46	1.0E-01	-1.10	8.5E-05	orange
AT3G11690			-0.48	1.6E-02	-1.10	3.1E-12	orange
AT1G27620		HXXXD-type acyl-transferase family protein	-0.90	4.0E-01	-1.10	2.7E-02	orange
AT5G66310		ATP binding microtubule motor family protein	-0.37	1.4E-02	-1.10	1.2E-05	orange
AT2G33370		Ribosomal protein L14p/L23e family protein	-0.48	2.0E-04	-1.11	1.7E-12	orange
AT2G36830	GAMMA-TIP	gamma tonoplast intrinsic protein	-0.33	5.7E-01	-1.11	6.3E-10	orange
AT1G29440	SAUR63	SAUR-like auxin-responsive protein family 	-0.34	1.9E-01	-1.11	4.1E-07	orange
AT4G17340	TIP2;2	tonoplast intrinsic protein 2;2	-0.43	3.3E-01	-1.11	3.0E-12	orange
AT5G20270	HHP1	heptahelical transmembrane protein1	-0.44	2.2E-02	-1.11	3.0E-13	orange
AT1G19340		Methyltransferase MT-A70 family protein	-0.14	8.5E-01	-1.11	1.2E-04	orange
AT2G22970	SCPL11	serine carboxypeptidase-like 11	-0.22	4.3E-01	-1.11	1.6E-09	orange
AT1G02350		protoporphyrinogen oxidase-related	-0.01	1.0E+00	-1.11	1.5E-04	orange
AT1G78970	LUP1	lupeol synthase 1	-0.39	1.7E-01	-1.11	3.7E-10	orange
AT4G15500	UGT84A4	UDP-Glycosyltransferase superfamily protein	-0.39	5.3E-01	-1.11	1.2E-04	orange
AT3G54180	CDKB1;1	cyclin-dependent kinase B1;1	0.24	7.7E-01	-1.11	7.3E-04	orange
AT4G39110		Malectin/receptor-like protein kinase family protein	0.07	9.6E-01	-1.11	8.3E-05	orange
AT1G15170		MATE efflux family protein	-0.13	8.8E-01	-1.11	3.3E-11	orange
AT3G20450		B-cell receptor-associated protein 31-like 	-0.10	9.6E-01	-1.12	2.6E-04	orange
AT4G34320		Protein of unknown function (DUF677)	-0.20	9.1E-01	-1.12	3.1E-02	orange
AT3G27025			-0.15	9.4E-01	-1.12	1.0E-02	orange
AT3G20460		Major facilitator superfamily protein	-0.06	9.8E-01	-1.12	1.8E-02	orange
AT3G24420		alpha/beta-Hydrolases superfamily protein	-0.38	3.4E-01	-1.12	1.6E-06	orange
AT4G39330	CAD9	cinnamyl alcohol dehydrogenase 9	-0.41	2.2E-03	-1.12	2.0E-06	orange
AT1G09230		RNA-binding (RRM/RBD/RNP motifs) family protein	-0.21	5.6E-01	-1.12	2.6E-22	orange
AT5G19740		Peptidase M28 family protein	-0.29	1.1E-01	-1.12	1.8E-12	orange
AT5G48490		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.51	4.7E-01	-1.12	3.0E-03	orange
AT3G53530	NAKR3	Chloroplast-targeted copper chaperone protein	-0.15	8.0E-01	-1.13	1.5E-05	orange
AT1G58070			-0.28	5.2E-01	-1.13	1.7E-05	orange
AT5G07000	ST2B	sulfotransferase 2B	-0.32	4.9E-01	-1.13	2.1E-05	orange
AT2G27930		PLATZ transcription factor family protein	0.08	9.8E-01	-1.13	3.1E-02	orange
AT5G65350	HTR11	histone 3 11	-0.10	9.6E-01	-1.13	1.3E-02	orange
AT2G32160		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-0.38	1.2E-02	-1.13	1.2E-10	orange
AT2G38160			-0.38	7.8E-01	-1.14	4.4E-02	orange
AT3G06520		agenet domain-containing protein	-0.21	8.3E-01	-1.14	7.1E-04	orange
AT1G10960	FD1	ferredoxin 1	-0.30	2.6E-01	-1.14	3.1E-13	orange
AT3G27640		Transducin/WD40 repeat-like superfamily protein	-0.26	8.2E-01	-1.15	2.8E-03	orange
AT5G44568			-0.32	6.7E-01	-1.15	6.8E-03	orange
AT1G62290		Saposin-like aspartyl protease family protein	-0.06	9.6E-01	-1.15	1.7E-07	orange
AT1G69490	NAP	"NAC-like, activated by AP3/PI"	-0.59	6.6E-01	-1.15	1.2E-03	orange
AT1G10682		other RNA	-0.52	5.4E-02	-1.15	2.0E-05	orange
AT5G02430		Transducin/WD40 repeat-like superfamily protein	-0.25	6.4E-01	-1.16	1.2E-05	orange
AT3G48550			-0.43	4.0E-01	-1.16	6.7E-05	orange
AT3G10310		P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	-0.12	9.3E-01	-1.16	2.5E-04	orange
AT1G73600		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-0.10	8.9E-01	-1.16	6.1E-07	orange
AT2G06850	XTH4	xyloglucan endotransglucosylase/hydrolase 4	-0.37	2.3E-01	-1.16	8.5E-05	orange
AT3G47070			-0.17	6.8E-01	-1.16	1.4E-18	orange
AT3G03530	NPC4	non-specific phospholipase C4	-0.19	9.1E-01	-1.16	1.3E-02	orange
AT2G27402			-0.07	9.6E-01	-1.16	4.3E-04	orange
AT4G21320	HSA32	Aldolase-type TIM barrel family protein	-0.33	6.3E-01	-1.17	2.6E-06	orange
AT1G23052			-0.98	1.1E-01	-1.17	3.4E-04	orange
AT1G58150			-0.66	4.7E-01	-1.17	1.7E-04	orange
AT1G43675		transposable element gene	-0.07	9.7E-01	-1.17	1.1E-03	orange
AT2G30424	TCL2	Homeodomain-like superfamily protein	-0.45	8.0E-02	-1.17	7.9E-05	orange
AT4G33550		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.47	1.3E-02	-1.17	8.5E-10	orange
AT5G51670		Protein of unknown function (DUF668)	-0.41	2.3E-01	-1.17	5.1E-07	orange
AT2G44300		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.10	9.2E-01	-1.17	2.7E-06	orange
AT1G03870	FLA9	FASCICLIN-like arabinoogalactan 9	-0.42	2.7E-01	-1.17	6.2E-09	orange
AT3G44610		Protein kinase superfamily protein	-0.48	1.7E-02	-1.17	5.0E-10	orange
AT2G42980		Eukaryotic aspartyl protease family protein	-0.24	7.9E-01	-1.17	1.1E-04	orange
AT5G48920	TED7	tracheary element differentiation-related 7	-0.39	2.2E-01	-1.18	3.1E-04	orange
AT1G73830	BEE3	BR enhanced expression 3	-0.47	5.0E-01	-1.18	6.6E-04	orange
AT3G47875		transposable element gene	0.62	6.5E-01	-1.18	1.2E-02	orange
AT4G01985			-0.08	9.6E-01	-1.18	8.6E-03	orange
AT2G05540		Glycine-rich protein family	-0.75	4.2E-01	-1.18	6.6E-04	orange
AT3G49070		Protein of unknown function (DUF677)	-0.21	8.8E-01	-1.18	3.2E-03	orange
AT5G52290	SHOC1	shortage in chiasmata 1	-0.67	4.4E-01	-1.19	2.1E-03	orange
AT5G49800		Polyketide cyclase/dehydrase and lipid transport superfamily protein	-0.37	3.9E-01	-1.19	1.6E-06	orange
AT5G20250	DIN10	Raffinose synthase family protein	-0.36	6.3E-01	-1.19	1.0E-05	orange
AT2G28630	KCS12	3-ketoacyl-CoA synthase 12	-0.35	5.8E-01	-1.19	2.8E-04	orange
AT2G16630		Pollen Ole e 1 allergen and extensin family protein	-0.31	2.9E-01	-1.19	1.2E-04	orange
AT1G33700		"Beta-glucosidase, GBA2 type family protein"	-0.56	3.4E-02	-1.20	2.1E-06	orange
AT1G15050	IAA34	indole-3-acetic acid inducible 34	-0.79	4.7E-01	-1.20	3.7E-02	orange
AT5G66620	DAR6	DA1-related protein 6	-0.23	7.7E-01	-1.20	2.3E-05	orange
AT4G02100		Heat shock protein DnaJ with tetratricopeptide repeat	-0.33	3.5E-01	-1.20	1.9E-05	orange
AT2G44190	EDE1	Family of unknown function (DUF566) 	0.08	9.8E-01	-1.20	1.9E-02	orange
AT3G03850	SAUR26	SAUR-like auxin-responsive protein family 	-0.31	7.0E-01	-1.20	2.0E-03	orange
AT1G63580		Receptor-like protein kinase-related family protein	-0.24	7.8E-01	-1.20	1.1E-06	orange
AT4G13710		Pectin lyase-like superfamily protein	-0.41	8.6E-02	-1.20	5.4E-06	orange
AT2G38540	LP1	lipid transfer protein 1	-0.31	1.5E-01	-1.20	6.5E-09	orange
AT4G05220		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	0.40	8.2E-01	-1.20	1.1E-02	orange
AT4G15480	UGT84A1	UDP-Glycosyltransferase superfamily protein	0.03	9.9E-01	-1.21	1.4E-02	orange
AT2G39180	CCR2	CRINKLY4 related 2	0.00	1.0E+00	-1.21	7.1E-04	orange
AT1G33811		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.21	3.5E-01	-1.21	5.9E-06	orange
AT5G51850	TRM24		-0.26	8.4E-01	-1.21	2.4E-03	orange
AT2G43150		Proline-rich extensin-like family protein	-0.02	9.9E-01	-1.21	4.9E-06	orange
AT2G19910		RNA-dependent RNA polymerase family protein	-0.48	6.9E-01	-1.21	1.1E-02	orange
AT1G59265		transposable element gene	0.17	9.3E-01	-1.21	2.2E-02	orange
AT2G24692			-0.59	3.5E-01	-1.21	1.5E-02	orange
AT1G64670	BDG1	alpha/beta-Hydrolases superfamily protein	-0.43	3.2E-02	-1.21	7.1E-09	orange
AT2G33830		Dormancy/auxin associated family protein	-0.51	3.5E-01	-1.21	5.9E-05	orange
AT4G37895		other RNA	0.41	8.8E-01	-1.21	4.2E-02	orange
AT1G70210	CYCD1;1	CYCLIN D1;1	-0.17	6.3E-01	-1.21	2.6E-09	orange
AT1G02340	HFR1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.31	6.6E-01	-1.22	7.4E-09	orange
AT5G12940		Leucine-rich repeat (LRR) family protein	-0.51	3.4E-01	-1.22	5.3E-04	orange
AT4G23500		Pectin lyase-like superfamily protein	-0.40	3.0E-02	-1.22	1.0E-17	orange
AT2G34060		Peroxidase superfamily protein	-0.44	8.8E-02	-1.22	1.2E-10	orange
AT1G01620	PIP1C	plasma membrane intrinsic protein 1C	-0.46	1.8E-03	-1.23	2.7E-11	orange
AT5G47130		Bax inhibitor-1 family protein	0.26	9.2E-01	-1.23	2.0E-02	orange
AT2G18970			0.93	4.7E-01	-1.23	3.2E-02	orange
AT2G24560		GDSL-like Lipase/Acylhydrolase family protein	-0.69	7.7E-01	-1.23	2.6E-02	orange
AT1G74670	GASA6	Gibberellin-regulated family protein	-0.53	3.6E-01	-1.23	8.2E-06	orange
AT5G52310	LTI78	low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)	-0.50	2.5E-01	-1.23	5.0E-15	orange
AT5G03670	TRM28		0.16	8.9E-01	-1.23	1.1E-05	orange
AT5G15160	BNQ2	BANQUO 2	-0.21	6.8E-01	-1.23	1.8E-05	orange
AT3G14740		RING/FYVE/PHD zinc finger superfamily protein	0.09	9.5E-01	-1.23	4.6E-05	orange
AT1G66940		protein kinase-related	-0.28	8.1E-01	-1.24	1.1E-04	orange
AT3G16370		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.46	1.5E-04	-1.24	9.3E-11	orange
AT4G03190	GRH1	GRR1-like protein 1	-0.36	1.1E-01	-1.25	6.8E-08	orange
AT2G18470	PERK4	roline-rich extensin-like receptor kinase 4	-0.59	7.1E-01	-1.25	2.0E-02	orange
AT5G44210	ERF9	erf domain protein 9	0.29	9.1E-01	-1.25	1.7E-03	orange
AT5G16600	MYB43	myb domain protein 43	-0.29	5.3E-01	-1.25	8.6E-04	orange
AT1G55330	AGP21	arabinogalactan protein 21	-0.13	8.8E-01	-1.25	3.5E-06	orange
AT5G19170		Protein of Unknown Function (DUF239)	-0.02	9.9E-01	-1.26	3.3E-04	orange
AT2G18620		Terpenoid synthases superfamily protein	0.21	8.9E-01	-1.26	9.3E-04	orange
AT5G44020		"HAD superfamily, subfamily IIIB acid phosphatase "	-0.14	9.4E-01	-1.26	1.9E-09	orange
AT5G66840		SAP domain-containing protein	0.31	8.8E-01	-1.26	3.5E-02	orange
AT1G53887			-0.05	9.7E-01	-1.26	6.7E-05	orange
AT3G56100	MRLK	meristematic receptor-like  kinase	-0.01	1.0E+00	-1.27	2.0E-02	orange
AT5G05840		Protein of unknown function (DUF620)	-0.39	7.9E-02	-1.27	1.2E-12	orange
AT5G15180		Peroxidase superfamily protein	-0.28	8.1E-01	-1.27	3.5E-03	orange
AT2G15620	NIR1	nitrite reductase 1	-0.25	4.6E-01	-1.27	1.8E-16	orange
AT2G25880	AUR2	ataurora2	-0.08	9.5E-01	-1.27	2.1E-06	orange
AT5G28415		transposable element gene	0.03	9.9E-01	-1.27	1.6E-02	orange
AT2G47560		RING/U-box superfamily protein	-0.51	5.8E-01	-1.27	2.3E-03	orange
AT1G29430		SAUR-like auxin-responsive protein family 	-0.31	3.7E-01	-1.27	3.1E-09	orange
AT5G47330		alpha/beta-Hydrolases superfamily protein	0.22	7.0E-01	-1.28	5.6E-08	orange
AT2G47920	NET3C	Kinase interacting (KIP1-like) family protein	-0.10	9.5E-01	-1.28	2.3E-05	orange
AT1G14430		glyoxal oxidase-related protein	0.03	9.9E-01	-1.28	7.6E-03	orange
AT5G36910	THI2.2	thionin 2.2	-0.53	2.3E-01	-1.28	1.9E-04	orange
AT2G37960			-0.01	1.0E+00	-1.28	1.1E-02	orange
AT2G18890		Protein kinase superfamily protein	-0.37	1.4E-01	-1.28	1.4E-07	orange
AT5G03620		Subtilisin-like serine endopeptidase family protein	-0.30	6.9E-01	-1.28	2.4E-05	orange
AT5G57760			-1.64	1.7E-01	-1.29	2.2E-02	orange
AT5G22940	F8H	FRA8 homolog	-0.14	9.6E-01	-1.29	1.4E-02	orange
AT3G25100	CDC45	cell division cycle 45	0.01	1.0E+00	-1.29	3.9E-05	orange
AT1G29510	SAUR68	SAUR-like auxin-responsive protein family 	-0.38	2.4E-01	-1.29	3.6E-04	orange
AT3G07010		Pectin lyase-like superfamily protein	-0.51	4.7E-02	-1.29	9.2E-16	orange
AT4G37220		Cold acclimation protein WCOR413 family	-0.96	1.8E-01	-1.29	6.3E-04	orange
AT4G22010	sks4	SKU5  similar 4	-0.33	4.6E-01	-1.30	6.9E-04	orange
AT3G19850		Phototropic-responsive NPH3 family protein	-0.26	5.3E-01	-1.30	7.6E-09	orange
AT4G25100	FSD1	Fe superoxide dismutase 1	0.05	9.8E-01	-1.30	1.0E-07	orange
AT1G09750		Eukaryotic aspartyl protease family protein	-0.31	6.4E-02	-1.30	1.1E-19	orange
AT5G64410	OPT4	oligopeptide transporter 4	-0.31	2.7E-01	-1.30	2.6E-07	orange
AT3G13980			-0.53	1.7E-01	-1.30	8.4E-10	orange
AT4G28310			-0.24	6.9E-01	-1.31	9.7E-06	orange
AT1G71015			-0.15	9.6E-01	-1.32	9.5E-03	orange
AT5G43040		Cysteine/Histidine-rich C1 domain family protein	-0.60	5.4E-01	-1.32	3.2E-03	orange
AT4G34580	COW1	Sec14p-like phosphatidylinositol transfer family protein	-0.06	9.7E-01	-1.32	2.1E-03	orange
AT1G77690	LAX3	like AUX1 3	-0.35	3.0E-01	-1.32	4.0E-06	orange
AT4G11950		Protein of unknown function (DUF1191)	-1.05	1.4E-01	-1.32	9.5E-03	orange
AT4G32630		ArfGap/RecO-like zinc finger domain-containing protein	-0.35	9.4E-01	-1.33	4.5E-02	orange
AT3G25670		Leucine-rich repeat (LRR) family protein	-0.35	4.3E-01	-1.33	2.1E-05	orange
AT5G51010		Rubredoxin-like superfamily protein	-0.02	9.7E-01	-1.33	4.6E-20	orange
AT4G26960			-0.25	7.6E-01	-1.33	1.9E-04	orange
AT2G28190	CSD2	copper/zinc superoxide dismutase 2	-0.48	7.0E-01	-1.34	7.1E-05	orange
AT1G49700		Plant protein 1589 of unknown function	0.29	9.1E-01	-1.34	7.5E-03	orange
AT1G05835		PHD finger protein	-0.40	7.8E-01	-1.34	4.5E-03	orange
AT2G38620	CDKB1;2	cyclin-dependent kinase B1;2	-0.13	9.5E-01	-1.34	2.5E-02	orange
AT5G08000	E13L3	"glucan endo-1,3-beta-glucosidase-like protein 3"	-0.30	7.0E-01	-1.34	3.5E-05	orange
AT5G14740	CA2	carbonic anhydrase 2	-0.36	1.9E-02	-1.34	8.6E-13	orange
AT3G25717	RTFL16	ROTUNDIFOLIA like 16	-0.45	1.4E-03	-1.35	8.6E-13	orange
AT4G14440	HCD1	3-hydroxyacyl-CoA dehydratase 1	-0.52	5.3E-03	-1.35	4.3E-14	orange
AT2G46530	ARF11	auxin response factor 11	-0.23	3.2E-01	-1.35	1.1E-15	orange
AT3G47400		Plant invertase/pectin methylesterase inhibitor superfamily	-0.51	2.9E-01	-1.35	4.4E-04	orange
AT1G30760		FAD-binding Berberine family protein	-0.31	8.9E-01	-1.35	4.4E-02	orange
AT3G01500	CA1	carbonic anhydrase 1	-0.21	3.8E-01	-1.36	7.7E-10	orange
AT5G49330	MYB111	myb domain protein 111	0.04	9.9E-01	-1.36	1.3E-02	orange
AT4G21760	BGLU47	beta-glucosidase 47	-0.20	7.4E-01	-1.36	1.3E-10	orange
AT5G18430		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.12	9.6E-01	-1.36	2.8E-03	orange
AT4G18670		Leucine-rich repeat (LRR) family protein	-0.36	3.4E-03	-1.36	1.5E-10	orange
AT5G10340		F-box family protein	-0.12	9.4E-01	-1.37	4.1E-06	orange
AT3G51290		Protein of unknown function (DUF630) ;Protein of unknown function (DUF632)	-0.47	2.1E-01	-1.37	3.9E-07	orange
AT1G02710		glycine-rich protein	-0.48	6.3E-01	-1.37	3.2E-04	orange
AT2G37380	MAKR3		-0.31	6.7E-01	-1.37	2.4E-04	orange
AT5G03150	JKD	C2H2-like zinc finger protein	-0.67	3.1E-01	-1.37	2.1E-05	orange
AT1G01900	SBTI1.1	subtilase family protein	-0.17	8.2E-01	-1.38	6.5E-09	orange
AT3G17050		transposable element gene	-0.65	2.0E-01	-1.38	4.9E-04	orange
AT1G11850			-0.46	3.4E-01	-1.38	9.0E-03	orange
AT5G42120		Concanavalin A-like lectin protein kinase family protein	-0.14	9.6E-01	-1.38	2.6E-02	orange
AT2G26180	IQD6	IQ-domain 6	-0.16	9.0E-01	-1.38	1.5E-06	orange
AT4G39795		Protein of unknown function (DUF581)	-0.40	6.9E-01	-1.39	4.9E-04	orange
AT5G25390	SHN3	Integrase-type DNA-binding superfamily protein	-0.28	8.3E-01	-1.39	2.5E-05	orange
AT1G65985		Plant protein of unknown function (DUF247)	-0.21	9.0E-01	-1.39	4.5E-04	orange
AT1G04040		"HAD superfamily, subfamily IIIB acid phosphatase "	-0.18	8.9E-01	-1.39	9.7E-06	orange
AT5G54190	PORA	protochlorophyllide oxidoreductase A	-0.50	4.4E-01	-1.39	9.3E-08	orange
AT2G37390	NAKR2	Chloroplast-targeted copper chaperone protein	-0.21	8.9E-01	-1.39	8.3E-04	orange
AT1G53860		Remorin family protein	0.14	9.6E-01	-1.39	1.5E-02	orange
AT1G33930		P-loop containing nucleoside triphosphate hydrolases superfamily protein	-0.78	5.7E-01	-1.39	3.1E-02	orange
AT3G30730			0.09	9.8E-01	-1.40	5.0E-02	orange
AT1G52827	CDT1	cadmium tolerance 1	-0.47	6.7E-02	-1.40	7.1E-10	orange
AT5G41900		alpha/beta-Hydrolases superfamily protein	-0.48	1.3E-02	-1.40	2.0E-08	orange
AT5G57785			-0.72	2.6E-01	-1.40	4.9E-03	orange
AT2G31730		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.05	9.7E-01	-1.40	1.3E-04	orange
AT4G02290	GH9B13	glycosyl hydrolase 9B13	-0.58	9.7E-02	-1.40	8.4E-04	orange
AT5G13060	ABAP1	ARMADILLO BTB protein 1	-0.02	9.9E-01	-1.41	4.9E-07	orange
AT4G36060	bHLH11	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.39	5.5E-01	-1.41	1.8E-03	orange
AT1G65180		Cysteine/Histidine-rich C1 domain family protein	-0.56	6.7E-01	-1.42	2.4E-02	orange
AT1G60950	FED A	2Fe-2S ferredoxin-like superfamily protein	-0.18	4.7E-01	-1.42	4.1E-15	orange
AT1G08080	ACA7	alpha carbonic anhydrase 7	-0.60	7.3E-01	-1.42	1.2E-02	orange
AT1G48480	RKL1	receptor-like kinase 1	-0.38	3.7E-02	-1.42	6.5E-11	orange
AT3G08885			-0.52	6.6E-01	-1.43	2.2E-02	orange
AT5G47500	PME5	Pectin lyase-like superfamily protein	-0.24	7.4E-01	-1.43	5.2E-05	orange
AT4G00400	GPAT8	glycerol-3-phosphate acyltransferase 8	-0.49	1.8E-04	-1.43	4.4E-09	orange
AT1G60680	AGD2	NAD(P)-linked oxidoreductase superfamily protein	-0.53	2.5E-01	-1.43	6.0E-05	orange
AT4G39340		Protein of unknown function (DUF1278)	-0.83	6.2E-01	-1.43	2.6E-02	orange
AT5G43840	HSFA6A	heat shock transcription factor  A6A	-1.09	3.8E-01	-1.44	6.2E-03	orange
AT3G54510		Early-responsive to dehydration stress protein (ERD4)	-0.82	2.3E-01	-1.44	9.5E-04	orange
AT5G25110	CIPK25	CBL-interacting protein kinase 25	-0.19	9.4E-01	-1.45	1.7E-03	orange
AT2G04570		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.26	7.7E-01	-1.45	9.5E-05	orange
AT5G15600	SP1L4	SPIRAL1-like4	-0.20	8.8E-01	-1.45	2.4E-05	orange
AT5G02420			0.13	9.6E-01	-1.45	4.9E-03	orange
AT1G50110		D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein	-0.23	7.7E-01	-1.45	3.9E-06	orange
AT1G29660		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.42	5.0E-04	-1.45	6.5E-13	orange
AT3G59480		pfkB-like carbohydrate kinase family protein	-0.45	6.1E-01	-1.45	5.9E-06	orange
AT3G58850	PAR2	phy rapidly regulated 2	-0.35	3.1E-01	-1.45	1.2E-10	orange
AT3G45710		Major facilitator superfamily protein	-0.19	9.0E-01	-1.47	5.0E-05	orange
AT4G30180		sequence-specific DNA binding transcription factors;transcription regulators	-0.59	7.7E-01	-1.48	8.6E-03	orange
